Customer ID,Customer,Invoice,Invoice Date,Due Date,Invoice Amount,Paid Amount,Outstanding,Days Past Due,Age Bucket
C001,BluePeak Analytics,INV-10001,2026-02-23,2026-03-10,20345.43,0.0,20345.43,0,Current
C001,BluePeak Analytics,INV-10002,2026-01-25,2026-02-09,25522.0,6380.5,19141.5,19,1-30
C001,BluePeak Analytics,INV-10003,2026-02-14,2026-03-16,9096.1,4548.05,4548.05,0,Current
C001,BluePeak Analytics,INV-10004,2026-01-27,2026-02-26,20751.84,20751.84,0.0,2,1-30
C002,Vertex Health Systems,INV-10005,2026-01-23,2026-03-09,22956.42,0.0,22956.42,0,Current
C002,Vertex Health Systems,INV-10006,2026-02-11,2026-02-26,19065.35,4766.34,14299.01,2,1-30
C002,Vertex Health Systems,INV-10007,2025-12-31,2026-02-14,14036.05,14036.05,0.0,14,1-30
C002,Vertex Health Systems,INV-10008,2026-02-17,2026-03-04,3388.05,3388.05,0.0,0,Current
C002,Vertex Health Systems,INV-10009,2026-01-11,2026-01-26,8314.8,0.0,8314.8,33,31-60
C002,Vertex Health Systems,INV-10010,2025-12-17,2026-01-31,5472.78,0.0,5472.78,28,1-30
C003,Oak & Pine Retail,INV-10011,2025-12-26,2026-01-25,24711.53,0.0,24711.53,34,31-60
C003,Oak & Pine Retail,INV-10012,2025-12-29,2026-01-13,3125.41,3125.41,0.0,46,31-60
C003,Oak & Pine Retail,INV-10013,2025-11-08,2025-11-23,27187.7,0.0,27187.7,97,90+
C003,Oak & Pine Retail,INV-10014,2026-02-02,2026-03-19,14523.8,0.0,14523.8,0,Current
C003,Oak & Pine Retail,INV-10015,2025-11-05,2025-12-20,25444.0,0.0,25444.0,70,61-90
C004,Nimbus Data Group,INV-10016,2026-02-23,2026-04-09,8748.32,4374.16,4374.16,0,Current
C004,Nimbus Data Group,INV-10017,2026-01-18,2026-03-04,20050.7,20050.7,0.0,0,Current
C004,Nimbus Data Group,INV-10018,2025-11-15,2025-12-30,5855.68,1463.92,4391.76,60,31-60
C004,Nimbus Data Group,INV-10019,2026-01-27,2026-02-11,16974.52,16974.52,0.0,17,1-30
C004,Nimbus Data Group,INV-10020,2026-02-16,2026-03-18,3297.73,3297.73,0.0,0,Current
C004,Nimbus Data Group,INV-10021,2025-12-24,2026-01-23,3290.24,3290.24,0.0,36,31-60
C005,Summit Legal Partners,INV-10022,2025-11-07,2025-12-07,3595.26,0.0,3595.26,83,61-90
C005,Summit Legal Partners,INV-10023,2025-11-29,2025-12-29,12378.92,12378.92,0.0,61,61-90
C005,Summit Legal Partners,INV-10024,2026-01-23,2026-02-07,18027.8,9013.9,9013.9,21,1-30
C006,CedarWorks Media,INV-10025,2026-01-21,2026-02-20,19346.82,4836.7,14510.12,8,1-30
C006,CedarWorks Media,INV-10026,2026-01-24,2026-02-23,12169.59,12169.59,0.0,5,1-30
C006,CedarWorks Media,INV-10027,2025-12-03,2026-01-02,13779.28,0.0,13779.28,57,31-60
C006,CedarWorks Media,INV-10028,2026-02-22,2026-04-08,18074.37,18074.37,0.0,0,Current
C006,CedarWorks Media,INV-10029,2026-02-11,2026-02-26,15886.02,15886.02,0.0,2,1-30
C007,Brightline Logistics,INV-10030,2026-02-07,2026-03-09,24878.64,0.0,24878.64,0,Current
C007,Brightline Logistics,INV-10031,2026-01-07,2026-02-06,5932.97,5932.97,0.0,22,1-30
C007,Brightline Logistics,INV-10032,2025-11-25,2025-12-25,17825.96,17825.96,0.0,65,61-90
C007,Brightline Logistics,INV-10033,2025-12-18,2026-01-02,19298.02,19298.02,0.0,57,31-60
C007,Brightline Logistics,INV-10034,2026-01-16,2026-01-31,26399.97,0.0,26399.97,28,1-30
C008,Atlas Engineering,INV-10035,2026-02-09,2026-02-24,21251.32,0.0,21251.32,4,1-30
C008,Atlas Engineering,INV-10036,2026-01-20,2026-02-19,17646.54,17646.54,0.0,9,1-30
C008,Atlas Engineering,INV-10037,2026-01-11,2026-02-10,19812.42,4953.1,14859.32,18,1-30
C008,Atlas Engineering,INV-10038,2025-12-21,2026-02-04,8379.38,0.0,8379.38,24,1-30
C008,Atlas Engineering,INV-10039,2026-02-12,2026-03-29,23528.92,0.0,23528.92,0,Current
C009,Redwood Advisory,INV-10040,2026-01-12,2026-02-11,18492.37,4623.09,13869.28,17,1-30
C009,Redwood Advisory,INV-10041,2026-02-03,2026-03-20,16254.03,8127.02,8127.01,0,Current
C009,Redwood Advisory,INV-10042,2025-12-14,2025-12-29,4731.1,4731.1,0.0,61,61-90
C010,Clearwater Digital,INV-10043,2025-12-16,2025-12-31,23666.39,23666.39,0.0,59,31-60
C010,Clearwater Digital,INV-10044,2025-12-15,2026-01-14,13060.41,0.0,13060.41,45,31-60
C010,Clearwater Digital,INV-10045,2026-01-15,2026-02-14,25353.32,0.0,25353.32,14,1-30
C010,Clearwater Digital,INV-10046,2025-10-31,2025-11-30,7304.01,0.0,7304.01,90,61-90
C011,SilverOak Manufacturing,INV-10047,2026-01-09,2026-02-23,27314.53,27314.53,0.0,5,1-30
C011,SilverOak Manufacturing,INV-10048,2026-02-04,2026-03-06,24452.67,0.0,24452.67,0,Current
C011,SilverOak Manufacturing,INV-10049,2025-11-03,2025-12-18,2449.4,2449.4,0.0,72,61-90
C012,Maple Street Foods,INV-10050,2025-11-15,2025-12-30,22818.56,22818.56,0.0,60,31-60
C012,Maple Street Foods,INV-10051,2025-11-12,2025-12-12,8790.31,8790.31,0.0,78,61-90
C012,Maple Street Foods,INV-10052,2026-02-10,2026-03-27,24650.77,12325.39,12325.38,0,Current
C012,Maple Street Foods,INV-10053,2026-01-26,2026-02-25,23194.57,11597.28,11597.29,3,1-30
C012,Maple Street Foods,INV-10054,2026-01-10,2026-02-09,23298.05,0.0,23298.05,19,1-30
