Customer ID,Customer,Invoiced,Paid,Outstanding,% of AR
C003,Oak & Pine Retail,94992.44,3125.41,91867.03,0.1854796198310068
C008,Atlas Engineering,90618.57999999999,22599.64,68018.94,0.13733030372820437
C007,Brightline Logistics,94335.56,43056.95,51278.61,0.10353156173942342
C002,Vertex Health Systems,73233.45,22190.44,51043.009999999995,0.10305588511820049
C012,Maple Street Foods,102752.26,55531.54,47220.72,0.09533867801915899
C010,Clearwater Digital,69384.13,23666.39,45717.74,0.09230415998789569
C001,BluePeak Analytics,75715.37,31680.39,44034.98,0.08890666596782315
C006,CedarWorks Media,79256.08,50966.68,28289.4,0.05711632516308935
C011,SilverOak Manufacturing,54216.6,29763.93,24452.67,0.049369963690489016
C009,Redwood Advisory,39477.5,17481.21,21996.29,0.044410530164005264
C005,Summit Legal Partners,34001.979999999996,21392.82,12609.16,0.02545790587970829
C004,Nimbus Data Group,58217.19,49451.270000000004,8765.92,0.01769840071099522
